doc_type,n,citations,share_pct
Article,2442,49339,57.31
Conference paper,977,3499,22.93
Proceedings Paper,412,2552,9.67
Book chapter,178,393,4.18
Review,148,6075,3.47
Conference review,40,0,0.94
Article; Early Access,20,130,0.47
Book,16,511,0.38
Editorial Material,7,69,0.16
Article; Proceedings Paper,3,35,0.07
Article; Book Chapter,3,5,0.07
Article; Data Paper,3,84,0.07
Retracted,3,16,0.07
Note,2,7,0.05
Article; Retracted Publication,1,2,0.02
Book Review,1,12,0.02
Correction,1,0,0.02
Editorial,1,0,0.02
Erratum,1,0,0.02
Letter,1,11,0.02
Retraction,1,0,0.02
