source_title,n_pubs,total_citations,mean_citations
REMOTE SENSING,113,3766,33.33
INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,58,1637,28.22
IEEE ACCESS,53,1138,21.47
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,44,1052,23.91
SUSTAINABILITY,42,848,20.19
NATURAL HAZARDS,41,1219,29.73
APPLIED SCIENCES-BASEL,41,528,12.88
Natural Hazards,38,669,17.61
Lecture Notes in Networks and Systems,37,17,0.46
SCIENTIFIC REPORTS,32,606,18.94
Water (Switzerland),31,278,8.97
WATER,30,383,12.77
Sustainability (Switzerland),26,325,12.5
World Conference on Earthquake Engineering proceedings,22,10,0.45
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,21,652,31.05
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,21,239,11.38
Journal of Natural Disasters,21,129,6.14
"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",21,100,4.76
Proceedings of SPIE - The International Society for Optical Engineering,21,4,0.19
SENSORS,20,521,26.05
Science of the Total Environment,19,1809,95.21
JOURNAL OF HYDROLOGY,18,547,30.39
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,18,527,29.28
CEUR Workshop Proceedings,18,68,3.78
IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,17,112,6.59
Wuhan Daxue Xuebao (Xinxi Kexue Ban)/Geomatics and Information Science of Wuhan University,16,202,12.62
Proceedings of the International ISCRAM Conference,16,163,10.19
ACM International Conference Proceeding Series,15,77,5.13
IOP Conference Series: Earth and Environmental Science,15,42,2.8
Communications in Computer and Information Science,15,38,2.53
