n_pubs,n_authors,share_authors_pct,expected_lotka_pct
1,11722,84.398,60.79
2,1301,9.367,15.198
3,407,2.93,6.754
4,160,1.152,3.799
5,89,0.641,2.432
6,53,0.382,1.689
7,36,0.259,1.241
8,30,0.216,0.95
9,20,0.144,0.75
10,14,0.101,0.608
11,10,0.072,0.502
12,12,0.086,0.422
13,6,0.043,0.36
14,1,0.007,0.31
15,3,0.022,0.27
16,5,0.036,0.237
17,1,0.007,0.21
18,1,0.007,0.188
19,2,0.014,0.168
21,1,0.007,0.138
23,1,0.007,0.115
24,2,0.014,0.106
25,3,0.022,0.097
26,2,0.014,0.09
27,2,0.014,0.083
29,1,0.007,0.072
30,1,0.007,0.068
35,1,0.007,0.05
41,1,0.007,0.036
46,1,0.007,0.029
