author,n_pubs,total_citations,mean_citations
Li Y.,46,1147,24.93
Zhang Y.,41,477,11.63
Wang Y.,35,1052,30.06
Li Z.,30,375,12.5
Wang X.,29,854,29.45
Zhang X.,27,446,16.52
Wang Z.,27,305,11.3
Liu J.,26,658,25.31
Wang H.,26,346,13.31
Wang L.,25,344,13.76
Zhang H.,25,339,13.56
Li J.,25,165,6.6
Zhang J.,24,379,15.79
Li X.,24,133,5.54
Liu Y.,23,276,12.0
Wang J.,21,232,11.05
Chen Y.,19,203,10.68
Wang C.,19,199,10.47
"Wang, J",18,127,7.06
Li S.,17,573,33.71
"Wang, Y",16,482,30.12
Chen J.,16,455,28.44
"Zhang, Y",16,393,24.56
Li H.,16,167,10.44
Liu C.,16,167,10.44
Wang N.,15,228,15.2
Huang Y.,15,132,8.8
Liu X.,15,131,8.73
Yang Y.,14,171,12.21
"Mostafavi, A",13,563,43.31
