affiliation,n_pubs,total_citations,mean_citations
Chinese Academy of Sciences,134,3099,23.13
China University of Geosciences,81,1316,16.25
Texas A&M University System,69,2910,42.17
Beijing Normal University,68,1217,17.9
Indian Institute of Technology System (IIT System),68,709,10.43
State University System of Florida,66,1776,26.91
Texas A&M University College Station,65,2858,43.97
Wuhan University,42,1530,36.43
Chengdu University of Technology,39,607,15.56
"University of Chinese Academy of Sciences, CAS",37,1060,28.65
Egyptian Knowledge Bank (EKB),37,1025,27.7
University of New South Wales Sydney,35,1293,36.94
Helmholtz Association,35,1108,31.66
"Aerospace Information Research Institute, CAS",33,962,29.15
University of Texas System,33,845,25.61
University of California System,31,893,28.81
Tohoku University,31,764,24.65
National Taiwan University,30,893,29.77
University of Florida,28,966,34.5
China Earthquake Administration,28,205,7.32
German Aerospace Centre (DLR),24,886,36.92
Nanjing University of Information Science & Technology,24,560,23.33
United States Department of Energy (DOE),24,359,14.96
University System of Georgia,24,302,12.58
University of Texas Austin,22,713,32.41
University of North Carolina,22,679,30.86
Hohai University,22,233,10.59
National Institute of Technology (NIT System),22,208,9.45
Stanford University,20,1273,63.65
Tsinghua University,20,610,30.5
