country,MCP,SCP,total,MCP_ratio_pct
China,260,1005,1265,20.55
India,164,699,863,19.0
USA,303,479,782,38.75
United Kingdom,166,50,216,76.85
Japan,90,117,207,43.48
South Korea,69,71,140,49.29
Italy,75,60,135,55.56
Germany,68,43,111,61.26
Australia,78,26,104,75.0
Iran,65,29,94,69.15
Malaysia,58,33,91,63.74
Canada,56,34,90,62.22
Indonesia,30,56,86,34.88
Saudi Arabia,63,12,75,84.0
Taiwan,24,45,69,34.78
Pakistan,48,19,67,71.64
Turkey,15,48,63,23.81
Greece,21,35,56,37.5
Bangladesh,28,25,53,52.83
Spain,42,7,49,85.71
Vietnam,35,13,48,72.92
Egypt,38,10,48,79.17
France,31,15,46,67.39
Netherlands,32,9,41,78.05
UAE,23,17,40,57.5
Qatar,18,11,29,62.07
Austria,21,8,29,72.41
Sweden,22,6,28,78.57
Switzerland,21,4,25,84.0
Iraq,15,9,24,62.5
