country,n_pubs,total_citations,mean_citations
China,1265,20576,16.27
India,863,7192,8.33
USA,782,15959,20.41
United Kingdom,216,5313,24.6
Japan,207,2755,13.31
South Korea,140,4261,30.44
Italy,135,2095,15.52
Germany,111,2675,24.1
Australia,104,3291,31.64
Iran,94,3415,36.33
Malaysia,91,2286,25.12
Canada,90,1795,19.94
Indonesia,86,618,7.19
Saudi Arabia,75,1286,17.15
Taiwan,69,995,14.42
Pakistan,67,955,14.25
Turkey,63,1010,16.03
Greece,56,984,17.57
Bangladesh,53,1441,27.19
Spain,49,1647,33.61
Vietnam,48,2665,55.52
Egypt,48,1004,20.92
France,46,1121,24.37
Netherlands,41,1278,31.17
UAE,40,357,8.93
Qatar,29,928,32.0
Austria,29,760,26.21
Sweden,28,980,35.0
Switzerland,25,712,28.48
Brazil,24,540,22.5
