funder,n
"National Natural Science Foundation of China, NSFC",163
"National Key Research and Development Program of China, NKRDPC",58
"National Science Foundation, NSF",39
Fundamental Research Funds for the Central Universities,34
National Natural Science Foundation of China,29
"National Aeronautics and Space Administration, NASA",18
"Chinese Academy of Sciences, CAS",15
"National Natural Science Foundation of China, NNSF",13
"European Space Agency, ESA",12
China Postdoctoral Science Foundation,12
"National Research Foundation of Korea, NRF",11
"European Commission, EC",10
"National Natural Science Foundation of China, NNSFC",10
"UK Research and Innovation, UKRI",9
"Horizon 2020 Framework Programme, H2020",9
Directorate For Engineering,8
National Key R&D Program of China,8
"National Key Research and Development Program of China, NKPs",7
"Ministry of Science, ICT and Future Planning, MSIP",7
"Ministry of Education of the People's Republic of China, MOE",7
"China Scholarship Council, CSC",7
"National Oceanic and Atmospheric Administration, NOAA",6
"Institute for Information and Communications Technology Promotion, IITP",6
Direct For Computer & Info Scie & Enginr,6
National Science Foundation,6
"Bundesministerium für Bildung und Forschung, BMBF",6
Natural Science Foundation of Hubei Province,6
"U.S. Geological Survey, USGS",6
"Natural Sciences and Engineering Research Council of Canada, NSERC",5
European Union,5
