authors,year,title,source_title,citations,TC_per_year,doi
Towfiqul Islam A.R.M.; Talukdar S.; Mahato S.; Kundu S.; Eibek K.U.; Pham Q.B.; Kuriqi A.; Linh N.T.T.,2021,Flood susceptibility modelling using advanced ensemble machine learning models,Geoscience Frontiers,468,93.6,10.1016/j.gsf.2020.09.006
Chen W.; Li Y.; Xue W.; Shahabi H.; Li S.; Hong H.; Wang X.; Bian H.; Zhang S.; Pradhan B.; Ahmad B.B.,2020,"Modeling flood susceptibility using data-driven approaches of naïve Bayes tree, alternating decision tree, and random forest methods",Science of the Total Environment,457,76.17,10.1016/j.scitotenv.2019.134979
"Zheng, Z; Zhong, YF; Wang, JJ; Ma, AL; Zhang, LP",2021,Building damage assessment for rapid disaster response with a deep object-based semantic change detection framework: From natural disasters to man-made disasters,REMOTE SENSING OF ENVIRONMENT,456,91.2,10.1016/j.rse.2021.112636
"Sun, AY; Scanlon, BR",2019,"How can Big Data and machine learning benefit environment and water management: a survey of methods, applications, and future directions",ENVIRONMENTAL RESEARCH LETTERS,399,57.0,10.1088/1748-9326/ab1b7d
Hong H.; Tsangaratos P.; Ilia I.; Liu J.; Zhu A.-X.; Chen W.,2018,"Application of fuzzy weight of evidence and data mining techniques in construction of flood susceptibility map of Poyang County, China",Science of the Total Environment,386,48.25,10.1016/j.scitotenv.2017.12.256
Meier P.,2015,Digital humanitarians: How big data is changing the face of humanitarian response,Digital Humanitarians: How Big Data Is Changing the Face of Humanitarian Response,367,33.36,10.1201/b18023
Wu Y.; Ke Y.; Chen Z.; Liang S.; Zhao H.; Hong H.,2020,Application of alternating decision tree with AdaBoost and bagging ensembles for landslide susceptibility mapping,Catena,359,59.83,10.1016/j.catena.2019.104396
"Ma, YC; Chen, S; Ermon, S; Lobell, DB",2024,Transfer learning in environmental remote sensing,REMOTE SENSING OF ENVIRONMENT,352,176.0,10.1016/j.rse.2023.113924
Zhao G.; Pang B.; Xu Z.; Yue J.; Tu T.,2018,Mapping flood susceptibility in mountainous areas on a national scale in China,Science of the Total Environment,346,43.25,10.1016/j.scitotenv.2017.10.037
"Fotovatikhah, F; Herrera, M; Shamshirband, S; Chau, KW; Ardabili, SF; Piran, MJ",2018,"Survey of computational intelligence as basis to big flood management: challenges, research directions and future work",ENGINEERING APPLICATIONS OF COMPUTATIONAL FLUID MECHANICS,326,40.75,10.1080/19942060.2018.1448896
"Shahabi, H; Shirzadi, A; Ghaderi, K; Omidvar, E; Al-Ansari, N; Clague, JJ; Geertsema, M; Khosravi, K; Amini, A; Bahrami, S; Rahmati, O; Habibi, K; Mohammadi, A; Nguyen, H; Melesse, AM; Bin Ahmad, B; Ahmad, A",2020,Flood Detection and Susceptibility Mapping Using Sentinel-1 Remote Sensing Data and a Machine Learning Approach: Hybrid Intelligence of Bagging Ensemble Based on K-Nearest Neighbor Classifier,REMOTE SENSING,311,51.83,10.3390/rs12020266
"Yu, MZ; Yang, CW; Li, Y",2018,Big Data in Natural Disaster Management: A Review,GEOSCIENCES,307,38.38,10.3390/geosciences8050165
Tien Bui D.; Ho T.-C.; Pradhan B.; Pham B.-T.; Nhu V.-H.; Revhaug I.,2016,"GIS-based modeling of rainfall-induced landslides using data mining-based functional trees classifier with AdaBoost, Bagging, and MultiBoost ensemble frameworks",Environmental Earth Sciences,304,30.4,10.1007/s12665-016-5919-4
"Sun, WJ; Bocchini, P; Davison, BD",2020,Applications of artificial intelligence for disaster management,NATURAL HAZARDS,300,50.0,10.1007/s11069-020-04124-3
"Shano, L; Raghuvanshi, TK; Meten, M",2020,Landslide susceptibility evaluation and hazard zonation techniques - a review,GEOENVIRONMENTAL DISASTERS,295,49.17,10.1186/s40677-020-00152-0
Fang Z.; Wang Y.; Peng L.; Hong H.,2021,Predicting flood susceptibility using LSTM neural networks,Journal of Hydrology,280,56.0,10.1016/j.jhydrol.2020.125734
"Vetrivel, A; Gerke, M; Kerle, N; Nex, F; Vosselman, G",2018,"Disaster damage detection through synergistic use of deep learning and 3D point cloud features derived from very high resolution oblique aerial images, and multiple-kernel-learning",ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,279,34.88,10.1016/j.isprsjprs.2017.03.001
"Abedi, R; Costache, R; Shafizadeh-Moghadam, H; Pham, QB",2022,"Flash-flood susceptibility mapping based on XGBoost, random forest and boosted regression trees",GEOCARTO INTERNATIONAL,262,65.5,10.1080/10106049.2021.1920636
"Pi, YL; Nath, ND; Behzadan, AH",2020,Convolutional neural networks for object detection in aerial imagery for disaster response and recovery,ADVANCED ENGINEERING INFORMATICS,255,42.5,10.1016/j.aei.2019.101009
"Khan, A; Gupta, S; Gupta, SK",2020,"Multi-hazard disaster studies: Monitoring, detection, recovery, and management, based on emerging technologies and optimal techniques",INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,254,42.33,10.1016/j.ijdrr.2020.101642
"Rahnemoonfar, M; Chowdhury, T; Sarkar, A; Varshney, D; Yari, M; Murphy, RR",2021,FloodNet: A High Resolution Aerial Imagery Dataset for Post Flood Scene Understanding,IEEE ACCESS,254,50.8,10.1109/ACCESS.2021.3090981
"Rodríguez-Espíndola, O; Chowdhury, S; Beltagui, A; Albores, P",2020,"The potential of emergent disruptive technologies for humanitarian supply chains: the integration of blockchain, Artificial Intelligence and 3D printing",INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,251,41.83,10.1080/00207543.2020.1761565
"Mangalathu, S; Sun, H; Nweke, CC; Yi, ZX; Burton, HV",2020,Classifying earthquake damage to buildings using machine learning,EARTHQUAKE SPECTRA,246,41.0,10.1177/8755293019878137
Wang Y.; Fang Z.; Wang M.; Peng L.; Hong H.,2020,Comparative study of landslide susceptibility mapping with different recurrent neural networks,Computers and Geosciences,242,40.33,10.1016/j.cageo.2020.104445
"Qadir, Z; Ullah, F; Munawar, HS; Al-Turjman, F",2021,Addressing disasters in smart cities through UAVs path planning and 5G communications: A systematic review,COMPUTER COMMUNICATIONS,229,45.8,10.1016/j.comcom.2021.01.003
