keyword,n,share_pct
machine learning,749,3.403
deep learning,730,3.317
disaster management,476,2.163
remote sensing,320,1.454
artificial intelligence,261,1.186
random forest,160,0.727
convolutional neural network,159,0.722
natural disaster,152,0.691
flood,139,0.632
social media,130,0.591
disaster response,128,0.582
earthquake,127,0.577
landslide,122,0.554
disaster,117,0.532
emergency response,103,0.468
semantic segmentation,88,0.4
climate change,78,0.354
cnn,77,0.35
transfer learning,76,0.345
gis,73,0.332
neural network,73,0.332
computer vision,71,0.323
support vector machine,71,0.323
artificial neural network,65,0.295
change detection,60,0.273
risk assessment,60,0.273
satellite imagery,58,0.264
flood detection,57,0.259
landslide susceptibility,56,0.254
classification,54,0.245
feature extraction,53,0.241
damage assessment,53,0.241
flood prediction,53,0.241
wildfire,52,0.236
twitter,51,0.232
landslide detection,51,0.232
resilience,50,0.227
image classification,49,0.223
image processing,49,0.223
flood mapping,49,0.223
transformer,49,0.223
early warning system,49,0.223
uav,48,0.218
natural language processing,48,0.218
decision support system,46,0.209
object detection,45,0.204
sar,43,0.195
accuracy,42,0.191
attention mechanism,40,0.182
internet of thing,40,0.182
big data,39,0.177
natural hazard,39,0.177
lstm,38,0.173
iot,37,0.168
unmanned aerial vehicle,37,0.168
emergency management,37,0.168
image segmentation,36,0.164
prediction,36,0.164
convolutional neural network cnn,35,0.159
artificial intelligence ai,35,0.159
