keyword,n,share_pct
disaster management,956,2.116
disaster,836,1.85
disaster prevention,764,1.691
deep learning,650,1.439
machine learning,557,1.233
natural disaster,415,0.919
flood,415,0.919
learning system,402,0.89
emergency service,387,0.857
risk assessment,363,0.803
remote sensing,342,0.757
convolutional neural network,327,0.724
landslide,322,0.713
artificial intelligence,316,0.699
china,311,0.688
machine-learning,305,0.675
decision making,273,0.604
earthquake,265,0.587
prediction,220,0.487
information management,209,0.463
flood control,197,0.436
forecasting,196,0.434
support vector machine,195,0.432
random forest,189,0.418
risk management,181,0.401
algorithm,178,0.394
climate change,167,0.37
hazard,162,0.359
satellite imagery,161,0.356
classification,159,0.352
flooding,154,0.341
social media,152,0.336
neural-network,149,0.33
artificial neural network,149,0.33
damage detection,148,0.328
learning algorithm,148,0.328
decision support system,132,0.292
decision tree,131,0.29
classification of information,129,0.286
disaster-response,126,0.279
gis,119,0.263
human,118,0.261
hazard assessment,114,0.252
emergency response,114,0.252
rain,113,0.25
fire,111,0.246
antenna,111,0.246
hurricane,106,0.235
vulnerability,104,0.23
early warning system,104,0.23
deep neural network,104,0.23
mapping,101,0.224
article,99,0.219
weather forecasting,98,0.217
remote-sensing,97,0.215
neural network,93,0.206
convolution,88,0.195
image enhancement,87,0.193
social networking online,87,0.193
internet of thing,86,0.19
