kw_a,kw_b,weight
disaster management,machine learning,121
deep learning,remote sensing,109
deep learning,disaster management,98
deep learning,machine learning,77
machine learning,remote sensing,69
artificial intelligence,machine learning,54
artificial intelligence,disaster management,53
machine learning,random forest,49
deep learning,semantic segmentation,43
convolutional neural network,deep learning,41
disaster management,remote sensing,40
disaster management,social media,38
machine learning,natural disaster,38
flood,machine learning,35
deep learning,satellite imagery,33
machine learning,social media,32
artificial intelligence,deep learning,31
deep learning,transfer learning,29
artificial intelligence,natural disaster,27
deep learning,flood detection,27
computer vision,deep learning,27
deep learning,flood,26
convolutional neural network,remote sensing,26
disaster,flood,25
deep learning,earthquake,24
cnn,deep learning,24
deep learning,disaster response,24
landslide,machine learning,24
deep learning,image classification,23
flood prediction,machine learning,23
emergency response,machine learning,23
artificial intelligence,remote sensing,23
gis,machine learning,23
disaster,machine learning,23
change detection,deep learning,23
deep learning,natural disaster,22
disaster management,natural disaster,22
deep learning,object detection,22
deep learning,landslide,22
earthquake,machine learning,22
deep learning,image processing,22
deep learning,social media,22
climate change,machine learning,21
disaster response,machine learning,21
deep learning,feature extraction,21
machine learning,support vector machine,20
feature extraction,remote sensing,20
early warning system,machine learning,20
change detection,remote sensing,19
deep learning,emergency response,19
disaster management,flood,19
remote sensing,semantic segmentation,19
accuracy,feature extraction,19
deep learning,transformer,19
disaster management,natural language processing,19
deep learning,image segmentation,19
deep learning,disaster,19
machine learning,natural language processing,19
natural disaster,social media,18
random forest,support vector machine,18
damage assessment,deep learning,18
accuracy,deep learning,18
deep learning,landslide detection,18
disaster management,flood prediction,18
disaster,earthquake,17
deep learning,u-net,17
accuracy,remote sensing,17
classification,machine learning,17
flood,remote sensing,17
computer vision,machine learning,17
computer vision,remote sensing,17
deep learning,neural network,17
artificial intelligence,internet of thing,16
deep learning,sar,16
deep learning,lstm,16
social media,twitter,16
remote sensing,transformer,16
convolutional neural network,disaster management,16
disaster management,early warning system,16
machine learning,prediction,15
machine learning,risk assessment,15
logistic regression,random forest,15
landslide detection,remote sensing,15
artificial intelligence,disaster response,15
machine learning,twitter,15
disaster management,earthquake,15
machine learning,neural network,14
deep learning,flood mapping,14
random forest,xgboost,14
disaster,remote sensing,14
artificial intelligence,early warning system,14
artificial intelligence,climate change,14
deep learning,natural language processing,14
deep learning,wildfire,14
big data,machine learning,14
convolutional neural network,feature extraction,14
accuracy,flood,14
landslide susceptibility,machine learning,14
disaster management,semantic segmentation,14
convolutional neural network,transfer learning,14
flood mapping,remote sensing,13
remote sensing,satellite imagery,13
landslide,random forest,13
convolutional neural network,machine learning,13
deep learning,satellite image,13
artificial intelligence,disaster,13
gis,remote sensing,13
disaster,social media,13
artificial neural network,machine learning,13
artificial intelligence ai,internet of things iot,13
machine learning,wildfire,13
accuracy,disaster,13
convolutional neural networks cnn,deep learning,13
remote sensing,satellite,13
disaster management,satellite imagery,12
disaster management,random forest,12
disaster management,internet of thing,12
computer vision,disaster management,12
climate change,disaster management,12
building damage assessment,deep learning,12
artificial intelligence,flood,12
artificial intelligence,emergency response,12
deep learning,synthetic aperture radar,12
machine learning,resilience,12
convolutional neural network,image classification,12
disaster management,wildfire,12
disaster management,image processing,12
classification,deep learning,12
disaster management,iot,12
landslide,remote sensing,12
disaster management,emergency response,12
data model,disaster,12
natural language processing,social media,11
disaster response,social media,11
accuracy,data model,11
natural disaster,remote sensing,11
iot,machine learning,11
damage assessment,machine learning,11
deep learning,uav,11
hazard,vulnerability,11
deep learning,training,11
disaster management,flood mapping,11
logistic regression,machine learning,11
internet of thing,machine learning,11
attention mechanism,deep learning,11
data model,flood,11
disaster management,flood detection,11
disaster management,gis,11
disaster,disaster management,10
disaster management,real-time monitoring,10
artificial intelligence,earthquake,10
damage detection,deep learning,10
sentiment analysi,twitter,10
damage assessment,remote sensing,10
deep learning,tropical cyclone,10
deep learning,yolov8,10
convolutional neural network cnn,deep learning,10
deep learning,explainable ai,10
flood detection,semantic segmentation,10
data model,deep learning,10
remote sensing,uav,10
feature extraction,transformer,10
natural disaster,twitter,10
disaster management,uav,10
machine learning,xgboost,10
deep learning,sentinel-1,10
disaster risk management,machine learning,10
feature extraction,training,10
image classification,transfer learning,10
earthquake prediction,machine learning,10
flood,semantic segmentation,10
artificial intelligence,computer vision,10
machine learning,sentiment analysi,10
building,remote sensing,9
deep learning,early warning system,9
earthquake,remote sensing,9
remote sensing,satellite image,9
sentinel-1,sentinel-2,9
social media,text classification,9
decision tree,machine learning,9
data model,feature extraction,9
image segmentation,remote sensing,9
disaster,feature extraction,9
image processing,machine learning,9
classification,disaster management,9
cnn,transfer learning,9
machine learning,vulnerability,9
data mining,machine learning,9
big data,disaster management,9
disaster management,sentiment analysi,9
deep learning,satellite,9
machine learning,predictive modeling,9
landslide,susceptibility,9
ensemble learning,machine learning,9
earthquake,flood,9
building damage,deep learning,9
remote sensing,u-net,9
cnn,machine learning,9
flood susceptibility,machine learning,9
disaster management,smart city,9
sentiment analysi,social media,9
earthquake,random forest,9
disaster management,twitter,9
deep learning,remote sensing image,9
disaster,resilience,9
convolutional neural network,earthquake,9
emergency management,machine learning,9
deep learning,wildfire detection,9
data augmentation,deep learning,8
disaster risk reduction,machine learning,8
flood,flood mapping,8
feature selection,machine learning,8
disaster resilience,machine learning,8
anomaly detection,deep learning,8
computational modeling,deep learning,8
data model,predictive model,8
decision support system,disaster management,8
artificial intelligence,iot,8
artificial intelligence,social media,8
disaster management,real-time system,8
random forest,remote sensing,8
object detection,remote sensing,8
disaster management,geospatial analysi,8
emergency response,remote sensing,8
disaster,twitter,8
building,feature extraction,8
deep learning,yolo,8
convolutional neural network,disaster response,8
accuracy,transformer,8
artificial intelligence,wildfire,8
landslide prediction,machine learning,8
landslide susceptibility,random forest,8
building,deep learning,8
early warning system,predictive analytic,8
convolutional neural network cnn,remote sensing,8
deep learning,twitter,8
artificial intelligence,convolutional neural network,8
artificial intelligence,emergency management,8
convolution neural network,deep learning,8
image processing,remote sensing,8
machine learning,predictive analytic,8
disaster response,remote sensing,8
machine learning,transfer learning,8
hurricane,machine learning,8
flood,landslide,8
flood mapping,sar,7
artificial intelligence,drone,7
flash flood,machine learning,7
disaster management,image classification,7
artificial intelligence,big data,7
accuracy,predictive model,7
disaster management,object detection,7
environmental monitoring,remote sensing,7
building,earthquake,7
damage assessment,disaster management,7
accuracy,earthquake,7
disaster,predictive model,7
flood detection,remote sensing,7
remote sensing,transfer learning,7
earthquake,feature extraction,7
logistic regression,support vector machine,7
forecasting,machine learning,7
natural disaster,sentiment analysi,7
sentinel-1,synthetic aperture radar,7
flood,synthetic aperture radar,7
disaster management,support vector machine,7
artificial intelligence,resilience,7
decision tree,random forest,7
