source,n_pubs,total_citations,mean_citations,h_index
REMOTE SENSING,113,3766,33.33,32
INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,58,1637,28.22,21
IEEE ACCESS,53,1138,21.47,16
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,44,1052,23.91,17
SUSTAINABILITY,42,848,20.19,15
NATURAL HAZARDS,41,1219,29.73,15
APPLIED SCIENCES-BASEL,41,528,12.88,12
Natural Hazards,38,669,17.61,14
Lecture Notes in Networks and Systems,37,17,0.46,2
SCIENTIFIC REPORTS,32,606,18.94,10
Water (Switzerland),31,278,8.97,10
WATER,30,383,12.77,11
Sustainability (Switzerland),26,325,12.5,9
World Conference on Earthquake Engineering proceedings,22,10,0.45,2
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,21,652,31.05,12
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,21,239,11.38,9
Journal of Natural Disasters,21,129,6.14,6
"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",21,100,4.76,7
Proceedings of SPIE - The International Society for Optical Engineering,21,4,0.19,1
SENSORS,20,521,26.05,11
Science of the Total Environment,19,1809,95.21,13
JOURNAL OF HYDROLOGY,18,547,30.39,10
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,18,527,29.28,12
CEUR Workshop Proceedings,18,68,3.78,4
IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,17,112,6.59,5
