research_area,n_pubs,share_pct
Engineering,674,14.66
Computer Science,575,12.51
Geology,523,11.37
Environmental Sciences & Ecology,435,9.46
Remote Sensing,435,9.46
Imaging Science & Photographic Technology,288,6.26
Water Resources,246,5.35
Meteorology & Atmospheric Sciences,201,4.37
Physical Geography,158,3.44
Science & Technology - Other Topics,142,3.09
Telecommunications,128,2.78
Instruments & Instrumentation,76,1.65
Construction & Building Technology,74,1.61
Chemistry,63,1.37
Physics,58,1.26
Materials Science,57,1.24
Operations Research & Management Science,52,1.13
Geochemistry & Geophysics,51,1.11
"Public, Environmental & Occupational Health",34,0.74
Geography,24,0.52
