source,n_pubs,recent_pubs,recent_share_pct
REMOTE SENSING,113,58,51.3
INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,58,38,65.5
Lecture Notes in Networks and Systems,37,34,91.9
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,44,32,72.7
IEEE ACCESS,53,29,54.7
APPLIED SCIENCES-BASEL,41,28,68.3
NATURAL HAZARDS,41,28,68.3
SUSTAINABILITY,42,28,66.7
SCIENTIFIC REPORTS,32,26,81.2
Natural Hazards,38,25,65.8
Water (Switzerland),31,24,77.4
Sustainability (Switzerland),26,21,80.8
Proceedings of SPIE - The International Society for Optical Engineering,21,19,90.5
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,21,18,85.7
IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,17,17,100.0
