author_a,author_b,weight
Wang C.,Wang X.,4
Wang C.,Zhang Y.,4
Huang Y.,Xu C.,4
Li J.,Zhang Y.,4
Li S.,Li Z.,4
Wang X.,Zhang C.,3
Liu Z.,Zhang X.,3
Zhang S.,Zhou X.,3
Chen Y.,Zhang Y.,3
Wu J.,Zhang J.,3
Li Z.,Wang X.,3
Liu X.,Zhang X.,3
Li X.,Wang Z.,3
Chen Y.,Li S.,3
Li Y.,Yang Y.,3
Li Y.,Zhao Y.,3
Chen J.,Zhang H.,3
Li H.,Wang Q.,3
Liu J.,Wang N.,3
Li Z.,Zhang X.,3
Wang C.,Wang Z.,3
Li Z.,Wang J.,3
Wang H.,Wu Z.,3
Wang Z.,Zhang H.,3
Wang C.,Zhang H.,3
Wang X.,Zhang Y.,3
Li S.,Wang Y.,3
Zhang L.,Zhang Y.,3
Chen W.,Li Y.,3
Li Z.,Liu X.,3
Li Z.,Zhang S.,2
Zhang Y.,Zhou X.,2
Chen W.,Zhao Y.,2
Li X.,Liu J.,2
Li X.,Liu Z.,2
Liu X.,Wang Z.,2
Wang L.,Wang N.,2
Li J.,Liu X.,2
Liu M.,Wang H.,2
Wang Z.,Zhang X.,2
Liu Y.,Zhang Y.,2
Liu Y.,Wang Z.,2
Li J.,Zhou X.,2
Wang Z.,Zhang Y.,2
Li Y.,Zhang Y.,2
Li J.,Liu Z.,2
Wang Y.,Zhang X.,2
Wang L.,Zhang H.,2
Liu M.,Wang Z.,2
Liu Y.,Wang C.,2
Wang J.,Wang N.,2
Chen Y.,Liu J.,2
Li J.,Wang Y.,2
Wang X.,Zhang H.,2
Li X.,Zhang H.,2
Li X.,Wang C.,2
Li X.,Wang J.,2
Zhang S.,Zhang Y.,2
Li H.,Wu J.,2
Li H.,Liu J.,2
Liu J.,Wang Z.,2
Liu S.,Wu Z.,2
Chen Y.,Zhang J.,2
Liu J.,Zhang Y.,2
Zhang J.,Zhang Y.,2
Wang J.,Yang Y.,2
Li J.,Wang L.,2
Wang J.,Xu J.,2
Wang Q.,Wu J.,2
Wang J.,Zhang Y.,2
Liu Z.,Wang L.,2
Chen Y.,Li Z.,2
Li Z.,Liu Z.,2
Li S.,Liu Z.,2
Chen Y.,Liu Z.,2
Li Z.,Yang J.,2
Liu C.,Liu X.,2
Li S.,Li Y.,2
Li S.,Wang X.,2
Wang X.,Zhang S.,2
Wang H.,Zhang C.,2
Chen W.,Liu J.,2
Wang H.,Wang X.,2
Chen J.,Chen W.,2
Wang C.,Zhang C.,2
Xu C.,Zhang X.,2
Chen X.,Wang Z.,2
Wang C.,Wang H.,2
Chen W.,Li X.,2
Liu C.,Zhang X.,2
Li Z.,Liu C.,2
Wang J.,Wu Z.,2
Huang Y.,Zhang Y.,2
Liu J.,Wang Y.,2
Chen Y.,Zhang X.,2
Huang Y.,Zhang X.,2
Wang J.,Zhang S.,2
Li Y.,Zhang H.,2
Liu J.,Liu M.,2
Liu J.,Wang H.,2
Wang J.,Wang Z.,2
Chen Y.,Li Y.,2
Liu X.,Wu Z.,1
Liu M.,Wang C.,1
Chen J.,Wang C.,1
Li Y.,Liu S.,1
Wang C.,Zhou X.,1
Zhang H.,Zhang S.,1
Chen J.,Liu M.,1
Liu M.,Zhang H.,1
Wang C.,Zhang S.,1
Liu Y.,Yang X.,1
Liu X.,Wang J.,1
Liu C.,Wu Z.,1
Chen J.,Wang Z.,1
Liu C.,Wang J.,1
Wang C.,Yang X.,1
Li Z.,Wu Z.,1
Chen J.,Li W.,1
Li S.,Zhang X.,1
Wang N.,Zhang J.,1
Li J.,Li Y.,1
Chen X.,Zhang L.,1
Wang X.,Zhou X.,1
Li S.,Liu X.,1
Li Z.,Zhang J.,1
Li Y.,Zhang X.,1
Li J.,Wang H.,1
Li Y.,Wang Y.,1
Wang H.,Wang L.,1
Wang Z.,Xu C.,1
Chen Y.,Wang Q.,1
Li S.,Wang Q.,1
Wang N.,Xu C.,1
Wang N.,Wang Z.,1
Wang C.,Xu C.,1
Wang C.,Wang N.,1
Li Z.,Wang Q.,1
Yang J.,Zhang H.,1
Wang L.,Yang J.,1
Chen J.,Yang J.,1
Chen J.,Wang L.,1
Wang N.,Zhang S.,1
Liu M.,Zhang X.,1
Liu C.,Zhang L.,1
Liu C.,Zhang Y.,1
Wang Z.,Zhang J.,1
Wang N.,Wang Q.,1
Chen X.,Wang Y.,1
"Liu, J","Wang, J",1
Li Z.,Liu Y.,1
Wang Y.,Zhang Y.,1
Zhang J.,Zhou X.,1
Liu Y.,Wang Y.,1
Wang L.,Wang Q.,1
Wu J.,Zhou X.,1
Li Y.,Zhou X.,1
Li Y.,Wu J.,1
Wang L.,Zhao Y.,1
Chen W.,Wang L.,1
Li W.,Zhang X.,1
Li W.,Wang Z.,1
Wang Y.,Zhang Z.,1
Liu S.,Xu J.,1
Zhang X.,Zhao Y.,1
Wang Y.,Wang Z.,1
Li S.,Wang Z.,1
Liu Z.,Zhang Y.,1
Chen J.,Zhang X.,1
Zhang H.,Zhang X.,1
Liu X.,Zhao Y.,1
Wang Y.,Zhang H.,1
Li J.,Zhang H.,1
Liu M.,Wang J.,1
Liu J.,Wu J.,1
Li Y.,Zhang J.,1
Wang J.,Xu C.,1
Chen X.,Li Y.,1
Chen X.,Zhou X.,1
Li Z.,Zhang Z.,1
Huang Y.,Zhang Z.,1
Huang Y.,Li Z.,1
Zhang C.,Zhang L.,1
Chen W.,Wang Z.,1
Liu J.,Wang Q.,1
Wang L.,Zhou X.,1
Zhang L.,Zhang X.,1
Liu Y.,Wang X.,1
Liu S.,Zhang X.,1
Li S.,Liu Y.,1
Chen X.,Xu C.,1
Wu Z.,Yang X.,1
Chen Y.,Yang X.,1
Chen Y.,Wu Z.,1
Wang L.,Xu C.,1
Wang Q.,Zhang J.,1
Li H.,Wang Z.,1
Liu C.,Wang X.,1
Li S.,Liu J.,1
Wang H.,Zhang J.,1
Wang N.,Yang Y.,1
Li Y.,Wu Z.,1
Li H.,Li Y.,1
Xu J.,Zhang Z.,1
Liu M.,Wu J.,1
Wang H.,Wu J.,1
Liu Y.,Wang J.,1
Huang Y.,Wu Z.,1
Liu S.,Zhang L.,1
Liu C.,Wang H.,1
Li X.,Wang H.,1
Li X.,Liu C.,1
Liu S.,Yang X.,1
Wu Z.,Xu C.,1
Li J.,Yang Y.,1
Chen W.,Liu S.,1
Li X.,Zhang Y.,1
Li H.,Zhang Y.,1
Li H.,Li X.,1
