ref_year,n_refs,median_5yr,deviation
1950,21,21.0,0.0
1951,25,19.0,6.0
1952,17,17.0,0.0
1953,14,16.0,-2.0
1954,12,16.0,-4.0
1955,16,16.0,0.0
1956,21,21.0,0.0
1957,24,24.0,0.0
1958,33,27.0,6.0
1959,27,27.0,0.0
1960,29,27.0,2.0
1961,13,27.0,-14.0
1962,15,21.0,-6.0
1963,34,21.0,13.0
1964,21,22.0,-1.0
1965,62,34.0,28.0
1966,22,41.0,-19.0
1967,83,41.0,42.0
1968,41,41.0,0.0
1969,35,50.0,-15.0
1970,71,50.0,21.0
1971,50,57.0,-7.0
1972,57,71.0,-14.0
1973,100,72.0,28.0
1974,72,72.0,0.0
1975,97,96.0,1.0
1976,52,87.0,-35.0
1977,96,96.0,0.0
1978,87,96.0,-9.0
1979,171,101.0,70.0
1980,117,117.0,0.0
1981,101,117.0,-16.0
1982,136,117.0,19.0
1983,81,136.0,-55.0
1984,194,150.0,44.0
1985,150,150.0,0.0
1986,234,180.0,54.0
1987,137,180.0,-43.0
1988,180,208.0,-28.0
1989,208,208.0,0.0
1990,227,227.0,0.0
1991,269,269.0,0.0
1992,360,283.0,77.0
1993,283,324.0,-41.0
1994,324,360.0,-36.0
1995,509,509.0,0.0
1996,579,579.0,0.0
1997,663,646.0,17.0
1998,646,663.0,-17.0
1999,697,697.0,0.0
2000,902,902.0,0.0
2001,1205,1131.0,74.0
2002,1131,1205.0,-74.0
2003,1266,1266.0,0.0
2004,1454,1454.0,0.0
2005,1760,1760.0,0.0
2006,2189,2163.0,26.0
2007,2163,2189.0,-26.0
2008,2474,2474.0,0.0
2009,2752,2752.0,0.0
2010,3608,3608.0,0.0
2011,3781,3781.0,0.0
2012,4585,4585.0,0.0
2013,5054,5054.0,0.0
2014,6027,6027.0,0.0
2015,7618,7618.0,0.0
2016,8345,8345.0,0.0
2017,10135,10135.0,0.0
2018,12740,12740.0,0.0
2019,14845,14845.0,0.0
2020,17103,15356.0,1747.0
2021,16454,15356.0,1098.0
2022,15356,15356.0,0.0
2023,13940,13940.0,0.0
2024,10148,12044.0,-1896.0
2025,2248,10148.0,-7900.0
