ref_a,ref_b,weight
he|deepresidlearnfor|2016,ronneberger|netconvonetwofor|2015,64
long|fullyconvonetwofor|2015,ronneberger|netconvonetwofor|2015,49
chen|encoddecodwithatrou|2018,ronneberger|netconvonetwofor|2015,47
he|deepresidlearnfor|2016,simonyan|verydeepconvonetwo|2014,45
breiman|randofores|2001,chen|xgbooscalatreeboost|2016,40
he|deepresidlearnfor|2016,krizhevsky|imageclasswithdeep|2012,37
badrinarayanan|segnedeepconvoencod|2017,ronneberger|netconvonetwofor|2015,36
breiman|randofores|2001,friedman|greedfunctapprogradi|2001,36
ronneberger|netconvonetwofor|2015,zhao|pyramsceneparsinetwo|2017,34
deng|imagelargescalehiera|2009,he|deepresidlearnfor|2016,34
he|deepresidlearnfor|2016,long|fullyconvonetwofor|2015,31
he|deepresidlearnfor|2016,szegedy|goingdeepewithconvo|2015,31
merghadi|machilearnmethofor|2020,reichenbach|reviestatibasedlands|2018,29
krizhevsky|imageclasswithdeep|2012,simonyan|verydeepconvonetwo|2014,29
he|deepresidlearnfor|2016,tan|efficrethimodelscali|2019,28
ghorbanzadeh|evaludiffemachilearn|2019,ji|landsdetecfromopen|2020,26
krizhevsky|imageclasswithdeep|2012,lecun|deeplearn|2015,26
ji|landsdetecfromopen|2020,ronneberger|netconvonetwofor|2015,26
chen|encoddecodwithatrou|2018,he|deepresidlearnfor|2016,26
breiman|randofores|2001,merghadi|machilearnmethofor|2020,26
he|deepresidlearnfor|2016,vaswani|attenallyouneed|2017,25
breiman|baggipredi|1996,breiman|randofores|2001,25
gupta|xbddatasforasses|2019,ronneberger|netconvonetwofor|2015,25
breiman|randofores|2001,reichenbach|reviestatibasedlands|2018,24
ji|landsdetecfromopen|2020,mohan|revieremotsensimetho|2021,23
ghorbanzadeh|evaludiffemachilearn|2019,ronneberger|netconvonetwofor|2015,23
he|deepresidlearnfor|2016,zhao|pyramsceneparsinetwo|2017,22
breiman|randofores|2001,pedregosa|scikilearnmachilearn|2011,22
krizhevsky|imageclasswithdeep|2012,szegedy|goingdeepewithconvo|2015,22
gupta|creatxbddatasfor|2019,he|deepresidlearnfor|2016,21
gupta|creatxbddatasfor|2019,ronneberger|netconvonetwofor|2015,20
kingma|adammethoforstoch|2014,ronneberger|netconvonetwofor|2015,20
he|deepresidlearnfor|2016,kingma|adammethoforstoch|2014,20
