doc_a,doc_b,weight
3641,3862,83
3862,3897,83
3641,3897,82
679,3307,78
1636,1674,75
3853,4039,65
1655,1971,55
3045,3225,53
972,3307,47
1573,2979,46
2008,2979,46
3054,3620,43
2843,3009,39
224,425,39
1577,1971,38
3730,3903,37
2383,2496,36
725,738,36
1674,1689,36
2699,3070,36
1573,2008,36
401,3070,35
1573,2650,34
3823,3892,33
694,3397,32
1680,2496,32
236,2797,31
1619,1674,31
2507,2824,30
1573,2831,29
1899,3070,29
85,364,29
2797,3001,29
3059,3172,28
1197,1557,28
886,1751,28
1680,2383,28
2452,3372,27
1674,1835,27
1736,1959,27
791,1332,27
1824,2387,27
1928,1971,27
1501,1839,26
1971,3307,26
1147,3117,25
2008,2650,25
3028,3051,24
2215,2933,24
1133,1656,24
1642,2980,24
2358,2385,24
1779,2096,23
2443,3123,23
1503,1971,23
2751,3832,23
3874,3990,23
164,886,23
1565,1739,23
3138,3273,23
616,1573,23
2197,2828,23
1197,1751,22
3620,3927,22
2617,3404,22
725,1952,22
521,2148,22
3631,3688,22
453,1978,21
249,794,21
3563,3985,21
2762,2797,21
260,350,21
1674,1977,21
1644,2366,21
164,1751,21
794,869,20
700,2650,20
968,2770,20
700,1573,20
1656,2849,20
249,869,20
377,2182,20
828,3070,20
605,1226,20
2545,3118,20
3470,3827,20
311,2215,20
3070,3173,20
453,1234,20
1557,1978,20
486,2453,20
1607,3307,20
106,1431,19
3439,3704,19
3623,4031,19
257,503,19
1566,2016,19
1566,3070,19
3280,3464,19
160,3467,19
1971,2685,19
1992,3258,19
3053,3070,19
3053,3173,18
3832,3984,18
709,980,18
65,1656,18
1743,2938,18
1844,1971,18
520,3307,18
616,2650,18
1674,1971,18
2650,2979,18
3690,3975,18
886,1197,18
1598,1973,18
694,1504,18
3245,3369,17
2654,3029,17
3576,3952,17
2078,2669,17
2016,3070,17
453,677,17
773,1527,17
4000,4037,17
3736,3841,17
164,1197,17
2552,2597,17
2663,3381,17
3251,3654,17
1797,2067,17
2771,3265,16
774,1422,16
3533,3911,16
1656,3684,16
2983,3498,16
3070,3497,16
2016,3173,16
886,1557,16
365,595,16
691,3931,16
3320,3984,16
3050,3306,16
1656,3825,16
3512,3849,16
1757,3137,16
3242,3772,16
407,2489,16
453,2350,16
2098,2459,16
40,1947,16
1971,3146,15
2001,3036,15
3202,3984,15
3173,3984,15
2789,3485,15
677,1978,15
700,2008,15
1425,3137,15
2676,3070,15
2676,3497,15
1557,1751,15
2210,2582,15
407,877,15
2771,3246,15
