doc_id,label,citations
3073,Sufi F.K. (2021),22
1032,Mahesh R. (2025),0
2067,Wei R. (2023),40
1045,Song W. (2025),18
2069,Seng N.L.K. (2024),0
3096,Alizadeh M. (2021),27
3097,Ahadzadeh S. (2021),13
2078,Karimiziarani M. (2023),69
2083,Shastry A. (2023),103
40,Xiao S. (2025),2
3116,Sufi F.K. (2021),33
3117,Munawar H.S. (2021),141
3118,Abdi G. (2021),13
1072,Astarita V. (2025),1
2096,Qiao W. (2024),9
2098,Ge J. (2023),8
50,Yu B. (2025),0
3123,He Y. (2022),9
65,Zhu Y. (2025),3
3138,Jamali A. (2020),43
3137,Feng Y. (2020),82
2118,Asadi A. (2024),14
3146,Drakaki M. (2022),2
2123,Ochiai K. (2023),1
82,Dhakal D. (2025),4
2130,Ding Y. (2023),4
85,Dubey V. (2025),0
2134,Ahmed B. (2023),9
1110,Kannan S. (2025),0
98,Pavani T.D.N. (2025),6
3172,Feldmeyer D. (2021),39
3173,Mudashiru R.B. (2021),48
1125,Jia W. (2025),3
2148,Xia H. (2023),59
106,Liu J. (2025),6
1133,Garg S. (2024),46
3186,Yar H. (2022),104
117,Badola S. (2025),10
1147,David A.O. (2024),7
2176,Wiguna S. (2024),29
3202,Khosravi K. (2020),176
2181,Vaddiraju S.C. (2023),18
2182,Wang H. (2024),5
138,Hussain M.A. (2025),5
2197,Nasrin T. (2023),12
150,He C. (2025),1
149,Hasan M.M. (2025),9
3225,Munawar H.S. (2021),74
1181,Gupta N. (2025),4
160,Mudassir G. (2025),1
1184,Liu J. (2025),0
2210,Luu C. (2023),32
1186,Fan Z. (2025),4
164,Chandra N. (2025),0
3238,Pham B.T. (2021),193
2215,Liao Y. (2023),121
3242,Sahana M. (2022),46
1197,Chandra N. (2025),2
3245,Xu Y.J. (2021),0
3246,Cheng C.-S. (2021),112
3251,Hao H. (2020),110
2229,Kantarcioglu O. (2023),39
3253,Ahadzadeh S. (2021),13
3258,He Q. (2021),101
187,Stewart A.J. (2025),5
192,Paul N. (2025),3
3265,Khajwal A.B. (2021),3
1219,Kumar M.S. (2025),0
3273,Jamali A. (2021),10
1226,Kopiika N. (2025),0
3278,Rabby Y.W. (2022),51
3280,Yao F. (2020),65
1234,Zhao C. (2025),0
222,Vashistha A. (2025),1
224,Venkatraman S. (2025),9
1257,Abdalzaher M.S. (2025),3
3306,Duan Y. (2022),52
3307,Sun W. (2020),388
236,Rachel S.S. (2025),2
1262,Singh D. (2025),0
2294,Tun S.H. (2024),3
3320,Pourghasemi H.R. (2021),42
249,Feng Z.-Y. (2025),14
2298,Yang Y. (2024),65
2300,Ren Z. (2024),10
257,Abdalla M. (2025),2
3330,Akinci H. (2021),90
260,Irukumati S. (2025),1
2312,Ahmadi S.A. (2024),25
1291,Singh D.K. (2025),3
2315,Hu J. (2023),10
1294,Wang P. (2025),4
1295,Majumdar S. (2025),2
2327,Saleh T. (2023),4
3359,Gupta A. (2021),71
3365,Shakeel M. (2021),25
2343,Lu W. (2023),50
296,Xiao S. (2025),0
3369,Xu Y. (2022),117
3370,Jamali M. (2020),26
299,Watt M.S. (2025),2
300,Bediroglu S. (2025),1
1322,Sakthi U. (2025),0
3372,Ofli F. (2022),8
2348,Mitoulis S.-A. (2024),1
2350,Yu B. (2024),7
2351,Kumar A. (2024),0
1332,Fatima N. (2025),0
3381,Kanimozhi T. (2022),9
2358,Yue W. (2023),10
311,Liao Y. (2025),11
310,Khan T. (2025),19
316,Liang R. (2025),9
2366,Xu Z. (2023),8
3397,Tan L. (2021),108
1352,Calle Muller C. (2024),16
3402,Kavzoglu T. (2021),51
332,Karimiziarani M. (2025),5
3404,Contreras D. (2021),0
2383,Bhatta S. (2023),81
2385,Yue W. (2023),52
2387,Ahmed I. (2024),2
3415,Xu S. (2021),80
350,Irukumati S. (2025),2
2403,Yar H. (2023),133
2410,Yang Y. (2024),4
364,Dubey V. (2025),3
365,Dey S. (2025),2
3439,Muszynski M. (2022),11
377,Liu M. (2025),1
1403,zhou S. (2025),5
3455,Chen J. (2021),192
3464,Dong Z.S. (2021),73
2443,He Y. (2024),45
3467,Mudassir G. (2021),8
2444,Chandra N. (2024),0
3470,Schoppa L. (2020),32
2445,Lu S. (2023),19
1422,Amiran A. (2024),7
401,Alabdan R. (2025),3
1425,Sathianarayanan M. (2025),0
402,Kaya A.Y. (2025),0
2452,Ofli F. (2023),11
2449,Chen B. (2024),16
3476,Sajjad M. (2021),54
407,S G. (2025),2
1431,Liu J. (2025),17
2453,Mihunov V.V. (2023),10
2459,Ge J. (2024),10
3484,Prakash N. (2021),96
3485,Abid S.K. (2021),212
419,Chen H. (2025),24
3496,Pereira J. (2020),39
425,Kumar P.M. (2025),0
3498,Mangalathu S. (2020),62
3497,Abedi R. (2022),245
433,Hafner S. (2025),2
3512,Kyrkou C. (2020),218
441,Khankeshizadeh E. (2025),10
2489,Girisha S. (2023),0
3516,Xu Y. (2020),1
2496,Bhatta S. (2024),21
452,Lagap U. (2025),3
453,Chen X. (2025),3
1479,Tsutsumida N. (2025),1
2507,Koshy R. (2023),58
3533,Tehrany M.S. (2019),165
1501,Cheng C.-S. (2024),8
477,Luo W. (2025),33
1503,Divya S.V. (2024),0
3551,Ofli F. (2020),58
1504,Albahri A.S. (2024),230
1506,Nguyen Van L. (2024),5
486,Wang K. (2025),2
2535,Ge J. (2023),59
488,Vega J. (2025),7
1514,Gao Z. (2024),1
3563,Aqib M. (2020),31
3564,Dao M.-S. (2018),12
2545,Abdi G. (2022),12
