doc_id,label,year,local_citations,global_citations
2,Islam M.T. (2025),2025,0,6
7,Yang S.-H. (2025),2025,0,2
8,Yun H. (2025),2025,0,3
9,Manzini T. (2025),2025,0,1
10,Vaiapury S. (2025),2025,0,1
11,Cercel P. (2025),2025,1,1
14,Hacilar H. (2025),2025,0,4
16,Sudha S.B. (2025),2025,1,1
18,Liu Y. (2025),2025,0,1
19,Onsay E.A. (2025),2025,0,3
23,Kwak T. (2025),2025,0,1
24,Zhang H. (2025),2025,0,4
27,Adhikari S. (2025),2025,0,0
28,Gu Z. (2025),2025,0,0
30,Sundaresan A.A. (2025),2025,0,13
31,Zeng Z. (2025),2025,0,1
32,Liu B. (2025),2025,4,26
34,Wu Y. (2025),2025,0,3
36,Chauhan V. (2025),2025,0,30
39,Lehmer N. (2025),2025,0,2
40,Xiao S. (2025),2025,0,2
42,Fang X. (2025),2025,0,1
44,Prakash G. (2025),2025,0,4
45,Nguyen B.-Q.-V. (2025),2025,0,0
48,Huang H. (2025),2025,0,0
50,Yu B. (2025),2025,0,0
51,Talal M. (2025),2025,0,0
52,Srivastava R. (2025),2025,0,0
53,Zeng Y. (2025),2025,0,6
54,Yi X. (2025),2025,1,9
56,Hong Y.-Y. (2025),2025,0,2
57,Chand R. (2025),2025,0,12
60,Li M. (2025),2025,0,7
62,Li W. (2025),2025,0,4
63,Yu B. (2025),2025,0,8
64,Dong F. (2025),2025,0,4
65,Zhu Y. (2025),2025,0,3
70,Boota M.W. (2025),2025,0,1
71,Fukutani Y. (2025),2025,0,2
74,Kuo W.-N. (2025),2025,1,1
76,Khorram-Manesh A. (2025),2025,0,2
77,Sibandze P. (2025),2025,0,3
78,Xue F. (2025),2025,0,2
80,Kaushal A. (2025),2025,0,16
82,Dhakal D. (2025),2025,0,4
83,Matosak B.M. (2025),2025,0,0
85,Dubey V. (2025),2025,0,0
86,Tian Y. (2025),2025,0,4
87,Li C. (2025),2025,0,0
90,Kafi K.M. (2025),2025,0,2
91,Liu C. (2025),2025,0,0
92,Holail S. (2025),2025,0,1
94,Gu Y. (2025),2025,0,5
96,Bibbo L. (2025),2025,0,2
97,De Silva S. (2025),2025,0,1
98,Pavani T.D.N. (2025),2025,0,6
100,Yuan S. (2025),2025,0,0
103,Han Z. (2025),2025,0,3
104,Kong Y. (2025),2025,0,1
105,Chang Y. (2025),2025,0,0
106,Liu J. (2025),2025,0,6
